energy;Permutation_importance
9.54;0.0003687670562932979
6.9;0.0003686160161573024
5.76;0.00036731230171606984
4.78;0.00036629934686562086
4.1;0.0003653607343232012
9.76;0.0003617991246912085
12.44;0.0003616201201809588
2.28;0.0003563802325257916
10.28;0.00035621671205466026
8.62;0.0003544995771009767
3.96;0.0003535006118660356
2.1;0.0003476181538745151
7.92;0.00034368863754087765
10.62;0.0003418200277548634
7.56;0.0003403385698678344
9.48;0.0003327255142754746
9.1;0.00033220079031281644
12.56;0.0003275058405961799
5.34;0.00032739339370671386
1.54;0.0003264566529459057
8.38;0.0003233319203884687
7.24;0.0003231845162969755
11.44;0.00032053084814618937
9.92;0.0003179891080909695
8.76;0.0003165536124305183
2.58;0.0003147786933862813
8.58;0.00030747147416425416
10.52;0.00030443337274923117
6.14;0.0002985345380257125
10.02;0.0002918078192095734
1.9;0.00028972989493312047
3.08;0.00028743517754005156
12.5;0.00028606626938074543
10.8;0.00028554276065109827
8.14;0.0002853653017150675
2.92;0.0002844475713042811
7.38;0.0002843814758798793
12.06;0.0002826175133475355
5.4;0.00028092734850688827
8.28;0.00027765202378941605
5.1;0.0002760547108192454
6.18;0.000273838888039352
11.68;0.0002727527648150648
11.38;0.0002671856540563865
5.68;0.0002640927208603605
2.34;0.0002638427022607407
12.24;0.0002592035706664417
8.16;0.00025605431544249306
5.48;0.00025136657614686084
8.8;0.00024925830981913837
8.74;0.00024841352870141637
7.3;0.00024586034991782104
9.08;0.0002458551453355389
9.2;0.0002405395510156394
3.36;0.0002397778180799681
4.68;0.0002350797660184409
10.68;0.0002329640736685644
12.9;0.00023216231385900826
11.4;0.00023180498849361013
13;0.0002305012640629063
7.94;0.00023006251923458646
10.1;0.00022641231463999624
12.88;0.00022157938720155073
11.84;0.00021629665961974076
9.16;0.00021509776219043585
4.36;0.00021027094698868685
5.56;0.00020688491081942103
10.54;0.00020589835790546106
11.18;0.00020542133709622857
11.6;0.0002043679849762336
2.8;0.00020347231001736636
10.46;0.00020317456185396247
2.2;0.00020192127280635016
12;0.00020163822589873157
12.28;0.00019481887937659252
2.62;0.00019409218740758968
7.82;0.0001921995907535003
8.82;0.00018721678874873576
7.46;0.00018688217993578766
10.84;0.00018483226405640866
9.64;0.0001820220607174898
7.84;0.00016897698147669111
9.66;0.00016803869042474013
7.98;0.0001655811452976386
11.16;0.0001638659866036395
2.82;0.00016304393746992805
10.92;0.00016082471396672431
12.08;0.00015778461650745504
6.06;0.0001567555324408757
9.18;0.00015504050840965425
12.52;0.00015312900032145183
7.72;0.00015289686699554268
12.94;0.00015149718859833422
10.34;0.00015127464318041094
11.24;0.00014914665317288658
2.68;0.00014775793707824444
12.26;0.00014571175996397584
4.22;0.00014474669880932756
9.56;0.00014425511301986604
7.36;0.00014397280791100627
12.18;0.00014374410625205805
10.38;0.00014211809549316353
10.96;0.00013842521520839583
8.7;0.00013405136497728895
6.84;0.0001325987532866247
9;0.0001260715016189364
6.12;0.000124984056662198
2.16;0.00012491258883292502
9.46;0.0001243748157736581
2.54;0.00012238988670287268
8.24;0.00012179501490597693
8.64;0.00011838510946422719
7.76;0.00011698426890392754
12.16;0.00011504572352573328
8.72;0.0001145548155606392
11.42;0.00011403356035230828
12.32;0.00011391801538973478
3.46;0.00010989025264518646
3.12;0.00010677439005136668
