energy;Reg_coef;Abs_Reg_coef;Zone
7.92;-0.0161708334202802;0.0161708334202802;Cu
18.22;-0.01616515562504154;0.01616515562504154;Rh ka Compton
18.3;-0.01610233480017262;0.01610233480017262;Rh ka Compton
8.2;0.016086780365411973;0.016086780365411973;Cu
5.84;0.016057646243282594;0.016057646243282594;Mn
2.4;0.01602118763407914;0.01602118763407914;Cl
11.72;-0.015947758105007207;0.015947758105007207;Br ka
17.68;0.015943619008554063;0.015943619008554063;Rh ka Compton
22.7;-0.01591937849676526;0.01591937849676526;Rh kb Rayleigh
5.22;0.015841306251938428;0.015841306251938428;background1
5.88;-0.015811175124092792;0.015811175124092792;Mn
4.72;-0.015810080756634814;0.015810080756634814;background1
14.3;-0.01580742317330445;0.01580742317330445;background3
20.22;-0.015697150983349024;0.015697150983349024;Rh ka Rayleigh
11.68;0.015673719581283246;0.015673719581283246;Br ka
12.16;-0.01565444235271781;0.01565444235271781;Br ka
3.12;0.015649613675585393;0.015649613675585393;K ka
18.38;0.015575676695649078;0.015575676695649078;Rh ka Compton
4.3;0.01552215788209393;0.01552215788209393;background1
14.7;-0.015499948591248272;0.015499948591248272;background3
18.98;-0.015483370061296693;0.015483370061296693;Rh ka Compton
19.12;-0.015480295761656555;0.015480295761656555;Rh ka Compton
11.08;-0.015477178783843307;0.015477178783843307;background2
15.26;0.015466547560287699;0.015466547560287699;background3
6.16;-0.015452190021552714;0.015452190021552714;Fe
21.06;-0.01542907371349582;0.01542907371349582;Rh kb Compton
10.9;-0.015418790577363528;0.015418790577363528;background2
6.26;0.015404189875993962;0.015404189875993962;Fe
22.8;-0.015306022517977592;0.015306022517977592;Rh kb Rayleigh
4.9;0.015274809691809898;0.015274809691809898;background1
3.98;-0.015252893251655547;0.015252893251655547;background1
6.3;0.015200564709427437;0.015200564709427437;Fe
15.8;0.015191479928151895;0.015191479928151895;background3
12;0.015150935873627801;0.015150935873627801;Br ka
22.86;0.015146675932725832;0.015146675932725832;Rh kb Rayleigh
12.34;-0.015134321505690693;0.015134321505690693;Br ka
13.78;-0.015090661013926192;0.015090661013926192;Rb ka + Br kb
3.18;-0.015079158330775173;0.015079158330775173;K ka
6.48;0.015076813513986168;0.015076813513986168;Fe
19.86;-0.015075215810223891;0.015075215810223891;Rh ka Compton
